iter	Passed	Remaining
0	68	137465
1	76	76463
2	81	54216
3	87	43527
4	94	37531
5	98	32745
6	104	29688
7	112	27897
8	117	26088
9	126	25114
10	133	24210
11	141	23499
12	147	22504
13	155	22008
14	160	21224
15	163	20226
16	167	19593
17	175	19295
18	180	18772
19	184	18279
20	194	18298
21	200	18030
22	210	18119
23	217	17869
24	225	17782
25	230	17516
26	238	17451
27	244	17191
28	249	16968
29	257	16918
30	262	16692
31	268	16533
32	274	16387
33	281	16248
34	288	16196
35	294	16060
36	301	16004
37	308	15920
38	315	15867
39	323	15841
40	329	15731
41	338	15768
42	344	15681
43	354	15745
44	360	15661
45	369	15697
46	376	15659
47	386	15711
48	391	15606
49	396	15476
50	405	15492
51	410	15376
52	418	15379
53	425	15335
54	431	15274
55	438	15233
56	445	15201
57	454	15214
58	460	15162
59	471	15230
60	478	15211
61	487	15249
62	493	15180
63	501	15174
64	507	15101
65	514	15079
66	523	15096
67	529	15034
68	538	15073
69	548	15132
70	553	15039
71	561	15047
72	569	15039
73	576	15016
74	584	15005
75	591	14970
76	600	15005
77	606	14943
78	612	14897
79	619	14861
80	625	14814
81	633	14818
82	640	14783
83	652	14881
84	658	14834
85	665	14805
86	672	14777
87	681	14816
88	689	14800
89	700	14874
90	709	14875
91	718	14896
92	725	14873
93	732	14859
94	738	14808
95	744	14774
96	751	14745
97	757	14711
98	766	14713
99	772	14673
100	781	14701
101	788	14673
102	797	14692
103	805	14689
104	815	14718
105	824	14734
106	834	14761
107	841	14746
108	848	14721
109	853	14662
110	861	14657
111	867	14620
112	876	14632
113	883	14609
114	893	14639
115	901	14640
116	911	14672
117	918	14650
118	927	14655
119	934	14639
120	941	14628
121	947	14592
122	952	14540
123	960	14531
124	965	14489
125	972	14458
126	979	14444
127	985	14417
128	993	14407
129	999	14380
130	1007	14375
131	1014	14351
132	1020	14325
133	1027	14314
134	1034	14292
135	1044	14309
136	1055	14348
137	1062	14340
138	1070	14330
139	1078	14332
140	1087	14340
141	1094	14325
142	1102	14319
143	1111	14322
144	1117	14295
145	1128	14324
146	1138	14354
147	1146	14349
148	1155	14352
149	1163	14345
150	1172	14357
151	1177	14321
152	1186	14325
153	1194	14315
154	1207	14369
155	1223	14457
156	1236	14519
157	1245	14516
158	1255	14536
159	1261	14510
160	1272	14529
161	1280	14528
162	1290	14538
163	1295	14508
164	1305	14514
165	1311	14492
166	1322	14517
167	1332	14531
168	1340	14527
169	1352	14557
170	1360	14551
171	1371	14578
172	1378	14556
173	1387	14555
174	1394	14539
175	1402	14530
176	1408	14509
177	1417	14513
178	1424	14489
179	1432	14482
180	1440	14479
181	1452	14508
182	1465	14550
183	1473	14546
184	1484	14563
185	1490	14535
186	1499	14535
187	1504	14503
188	1510	14473
189	1516	14443
190	1520	14404
191	1526	14371
192	1532	14349
193	1537	14310
194	1545	14302
195	1554	14310
196	1564	14323
197	1570	14297
198	1579	14297
199	1588	14293
200	1595	14280
201	1602	14262
202	1608	14238
203	1615	14221
204	1620	14186
205	1629	14186
206	1633	14148
207	1638	14115
208	1648	14124
209	1653	14096
210	1664	14108
211	1671	14097
212	1681	14109
213	1689	14096
214	1698	14102
215	1706	14096
216	1714	14089
217	1722	14079
218	1730	14071
219	1736	14047
220	1745	14047
221	1751	14031
222	1760	14025
223	1764	13990
224	1769	13962
225	1777	13955
226	1783	13926
227	1791	13925
228	1798	13905
229	1804	13890
230	1810	13866
231	1815	13836
232	1823	13826
233	1828	13798
234	1832	13765
235	1841	13765
236	1847	13744
237	1853	13721
238	1861	13713
239	1868	13703
240	1878	13712
241	1883	13683
242	1891	13675
243	1898	13659
244	1907	13663
245	1913	13639
246	1920	13628
247	1925	13603
248	1930	13575
249	1936	13557
250	1943	13541
251	1948	13517
252	1958	13520
253	1963	13496
254	1976	13525
255	1990	13560
256	1998	13556
257	2009	13564
258	2019	13577
259	2026	13560
260	2035	13564
261	2044	13565
262	2053	13559
263	2060	13547
264	2068	13545
265	2074	13520
266	2079	13500
267	2086	13485
268	2091	13457
269	2096	13434
270	2104	13426
271	2109	13398
272	2117	13397
273	2126	13396
274	2138	13412
275	2151	13439
276	2158	13429
277	2168	13434
278	2176	13423
279	2185	13422
280	2192	13413
281	2202	13415
282	2208	13397
283	2214	13382
284	2221	13369
285	2226	13345
286	2234	13338
287	2241	13322
288	2248	13310
289	2253	13290
290	2259	13271
291	2267	13263
292	2271	13236
293	2277	13217
294	2285	13210
295	2291	13189
296	2299	13183
297	2304	13163
298	2310	13143
299	2317	13129
300	2321	13104
301	2328	13091
302	2333	13070
303	2338	13043
304	2343	13026
305	2349	13008
306	2354	12986
307	2362	12976
308	2367	12954
309	2371	12931
310	2378	12918
311	2382	12892
312	2387	12865
313	2394	12855
314	2398	12831
315	2403	12806
316	2409	12792
317	2414	12772
318	2419	12748
319	2425	12732
320	2431	12716
321	2435	12691
322	2440	12671
323	2445	12652
324	2450	12631
325	2456	12616
326	2462	12598
327	2467	12577
328	2472	12556
329	2478	12542
330	2482	12517
331	2488	12500
332	2494	12489
333	2499	12469
334	2505	12450
335	2512	12441
336	2516	12416
337	2520	12395
338	2527	12384
339	2532	12362
340	2537	12343
341	2544	12334
342	2549	12316
343	2554	12298
344	2562	12291
345	2567	12271
346	2573	12261
347	2578	12242
348	2585	12230
349	2591	12218
350	2596	12197
