original_row_index,column,geohash,day,timestamp,filled_value,rule_used,fill_successful
0,RoadType,qp02z1,48,0:0,Residential,RT-1: geohash mode,True
129,RoadType,qp0970,48,0:0,Residential,RT-1: geohash mode,True
258,RoadType,qp097y,48,0:0,Residential,RT-1: geohash mode,True
387,RoadType,qp03wk,48,0:0,Residential,RT-1: geohash mode,True
516,RoadType,qp03yd,48,0:0,Residential,RT-1: geohash mode,True
645,RoadType,qp0dh9,48,0:0,Residential,RT-1: geohash mode,True
774,RoadType,qp03jw,48,0:15,Residential,RT-1: geohash mode,True
903,RoadType,qp03ms,48,0:15,Residential,RT-1: geohash mode,True
1032,RoadType,qp0999,48,0:15,Residential,RT-1: geohash mode,True
1161,RoadType,qp099w,48,0:15,Residential,RT-1: geohash mode,True
1290,RoadType,qp09fm,48,0:15,Residential,RT-1: geohash mode,True
1419,RoadType,qp08by,48,0:30,Residential,RT-1: geohash mode,True
1548,RoadType,qp0972,48,0:30,Residential,RT-1: geohash mode,True
1677,RoadType,qp09kn,48,0:30,Residential,RT-1: geohash mode,True
1806,RoadType,qp09s7,48,0:30,Residential,RT-1: geohash mode,True
1935,RoadType,qp09v0,48,0:30,Residential,RT-1: geohash mode,True
2064,RoadType,qp09fx,48,0:30,Residential,RT-1: geohash mode,True
2193,RoadType,qp090c,48,0:45,Street,RT-1: geohash mode,True
2322,RoadType,qp0921,48,0:45,Residential,RT-1: geohash mode,True
2451,RoadType,qp093p,48,0:45,Residential,RT-1: geohash mode,True
2580,RoadType,qp03xu,48,0:45,Residential,RT-1: geohash mode,True
2709,RoadType,qp09uc,48,0:45,Residential,RT-1: geohash mode,True
2838,RoadType,qp06p8,48,0:45,Residential,RT-1: geohash mode,True
2967,RoadType,qp0953,48,1:0,Residential,RT-1: geohash mode,True
3096,RoadType,qp03m9,48,1:0,Residential,RT-1: geohash mode,True
3225,RoadType,qp03mx,48,1:0,Residential,RT-1: geohash mode,True
